,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score
6395,R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.11,0.0,0.02,0.27,78.0,70.0,0.011926605504587158,73.24,75.58,49.61064220183486
6396,Duel Masters,PS2,2004,Strategy,Atari,0.13,0.1,0.0,0.03,0.27,66.0,83.0,0.012500000000000002,55.88,84.0,46.630833333333335
6400,MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,41.0,74.0,0.017663043478260868,26.67,81.58,36.08922101449276
6407,NBA 07,PS3,2006,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,0.27,63.0,63.0,0.0031507513330101796,53.52,62.03,38.51771691711101
6408,Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.1,0.0,0.03,0.27,47.0,57.0,0.017663043478260868,34.67,59.21,31.299221014492755
6409,My Japanese Coach,DS,2008,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,59.0,67.0,0.007321881160236552,48.0,69.51,39.17244062705341
6411,Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0.0,0.02,0.27,45.0,61.0,0.01120689655172414,25.0,62.92,29.310402298850576
6413,Section 8,X360,2009,Shooter,SouthPeak Games,0.15,0.09,0.0,0.02,0.27,69.0,73.0,0.007936507936507936,65.82,76.19,47.339312169312166
6416,ESPN NBA Basketball,XB,2003,Sports,Sega,0.2,0.06,0.0,0.01,0.27,87.0,82.0,0.036161335187760775,90.14,82.72,57.632053778395914
6419,Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46.0,84.0,0.015489467162329618,34.62,85.9,40.17849648905411
6420,Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.1,0.0,0.04,0.26,40.0,64.0,0.018142235123367198,23.19,60.56,27.922714078374458
6421,All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75.0,68.0,0.011018069634200088,71.79,71.26,47.6870060232114
6423,Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,46.0,70.0,0.011018069634200088,34.62,73.56,36.06367268987807
6424,Plants vs. Zombies,X360,2010,Strategy,PopCap Games,0.24,0.0,0.0,0.02,0.26,89.0,82.0,0.011467889908256881,88.73,89.53,59.423822629969415
6428,Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,85.0,0.032981530343007916,67.74,95.59,54.454327176781
6430,Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,53.0,73.0,0.0167000668002672,38.03,70.0,36.015566688933426
6431,The Incredible Hulk,X360,2008,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,64.0,0.0070402703463813,42.67,65.85,36.175680090115456
6432,Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90.0,85.0,0.015489467162329618,91.03,87.18,59.40849648905411
6436,America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87.0,56.0,0.011467889908256881,85.92,59.3,48.41048929663609
6441,Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.26,76.0,74.0,0.0070402703463813,70.67,78.05,49.57568009011546
6442,Superman Returns,X360,2006,Action,Electronic Arts,0.23,0.01,0.0,0.02,0.26,51.0,62.0,0.0030295685894328648,36.62,60.76,32.461009856196476
6443,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,0.13,0.0,0.12,0.01,0.26,84.0,88.0,0.00763125763125763,84.81,94.05,59.622543752543756
6449,Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,81.0,0.029205607476635514,80.52,84.62,55.05640186915888
6450,MLB SlugFest 2006,PS2,2006,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26,56.0,75.0,0.0030295685894328648,43.66,77.22,40.294343189529805
6451,Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.09,0.0,0.16,0.01,0.26,82.0,89.0,0.0070402703463813,78.67,96.34,58.3390134234488
6454,The Incredible Hulk,PS3,2008,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,68.0,0.0070402703463813,42.67,70.73,37.80234675678213
6455,Deadly Premonition,X360,2010,Action,Rising Star Games,0.18,0.06,0.0,0.02,0.26,68.0,82.0,0.011467889908256881,59.15,89.53,49.56382262996942
6461,Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,50.0,66.0,0.012019230769230772,32.35,61.33,31.23067307692308
6463,The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.15,0.0,0.05,0.26,59.0,57.0,0.016983695652173912,50.67,59.21,36.63232789855073
6469,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26,63.0,86.0,0.011467889908256881,52.11,94.19,48.77048929663608
6470,Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,80.0,82.0,0.011887779362815027,79.76,87.8,55.85729592645427
6473,Final Fantasy V Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.26,83.0,72.0,0.0030295685894328648,81.69,73.42,51.7043431895298
6476,Star Wars: Bounty Hunter,GC,2002,Shooter,LucasArts,0.2,0.05,0.0,0.01,0.26,67.0,76.0,0.015489467162329618,61.54,75.64,45.731829822387446
6480,Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,Tecmo Koei,0.04,0.04,0.16,0.02,0.26,64.0,78.0,0.016983695652173912,57.33,86.84,48.06232789855073
6483,Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0,0.26,70.0,66.0,0.0030295685894328648,63.38,65.82,43.067676522863145
6484,Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0.0,0.02,0.26,63.0,35.0,0.018142235123367198,56.52,19.72,25.419380745041124
6486,Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,61.0,45.0,0.00763125763125763,55.7,42.86,32.85587708587709
6488,WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.12,0.12,0.0,0.02,0.26,68.0,55.0,0.032981530343007916,59.68,51.47,37.06099384344767
6490,Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,0.21,0.02,0.0,0.02,0.26,73.0,71.0,0.011018069634200088,69.23,74.71,47.98367268987806
6492,Riding Spirits,PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0.0,0.03,0.26,59.0,90.0,0.015489467162329618,51.28,93.59,48.29516315572078
6493,Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.11,0.13,0.0,0.02,0.26,81.0,58.0,0.029205607476635514,80.52,55.13,45.22640186915888
6494,MLB 09: The Show,PSP,2009,Sports,Sony Computer Entertainment,0.24,0.0,0.0,0.02,0.26,78.0,69.0,0.00763125763125763,77.22,71.43,49.552543752543755
6495,Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26,66.0,89.0,0.025343189017951427,41.82,83.87,41.90511439633932
6496,Inazuma Eleven Strikers,Wii,2011,Role-Playing,Nintendo,0.0,0.01,0.25,0.0,0.26,59.0,79.0,0.016983695652173912,50.67,88.16,46.282327898550726
6506,Armored Core: Nexus,PS2,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73.0,87.0,0.012019230769230772,66.18,89.33,51.840673076923075
6508,Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.26,44.0,67.0,0.015489467162329618,32.05,64.1,32.05516315572078
6513,Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0.06,0.0,0.01,0.26,77.0,84.0,0.03477051460361613,76.06,85.19,53.76159017153454
6514,Batman: Vengeance,GC,2001,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26,70.0,58.0,0.0167000668002672,61.97,48.57,36.852233355600085
6522,Spider-Man: Web of Shadows,PS3,2008,Action,Activision,0.2,0.04,0.0,0.02,0.26,67.0,79.0,0.0070402703463813,58.67,84.15,47.6090134234488
6523,Legaia 2: Duel Saga,PS2,2001,Role-Playing,Eidos Interactive,0.13,0.1,0.0,0.03,0.26,67.0,84.0,0.0167000668002672,57.75,85.71,47.82556668893343
6524,Crash Nitro Kart,GC,2003,Racing,Vivendi Games,0.2,0.05,0.0,0.01,0.26,66.0,74.0,0.03477051460361613,60.56,72.84,44.47825683820121
6528,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.24,0.0,0.0,0.02,0.26,77.0,86.0,0.00763125763125763,75.95,91.67,55.875877085877086
6533,Oddworld: Stranger's Wrath,XB,2005,Adventure,Electronic Arts,0.19,0.06,0.0,0.01,0.26,88.0,91.0,0.010775862068965518,88.24,96.63,61.62692528735632
6534,King of Fighters: Maximum Impact,PS2,2004,Fighting,Ignition Entertainment,0.13,0.1,0.0,0.03,0.26,64.0,69.0,0.012019230769230772,52.94,65.33,39.42733974358975
6536,Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70.0,66.0,0.018142235123367198,66.67,63.38,43.356047411707785
6538,Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68.0,68.0,0.032981530343007916,59.68,70.59,43.434327176781004
6542,Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,78.0,90.0,0.015489467162329618,75.64,93.59,56.41516315572077
6545,Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.1,0.02,0.02,0.26,75.0,74.0,0.011887779362815027,73.81,78.05,50.62396259312093
6546,Tony Hawk: Shred,X360,2010,Sports,Activision,0.17,0.06,0.0,0.02,0.26,53.0,66.0,0.011467889908256881,38.03,70.93,36.32382262996942
6548,Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment,0.0,0.0,0.26,0.0,0.26,74.0,84.0,0.018142235123367198,72.46,88.73,53.736047411707794
6550,Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26,54.0,62.0,0.011887779362815027,48.81,63.41,37.410629259787605
6551,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80.0,85.0,0.011887779362815027,79.76,91.46,57.07729592645427
6553,Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft,0.2,0.03,0.0,0.03,0.26,78.0,65.0,0.011018069634200088,75.64,67.82,47.823672689878066
6556,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.11,0.02,0.11,0.01,0.26,71.0,84.0,0.0030295685894328648,64.79,88.61,51.13434318952981
6558,Legendary,X360,2008,Shooter,Atari,0.08,0.15,0.0,0.03,0.26,47.0,71.0,0.0070402703463813,32.0,74.39,35.46568009011546
6559,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,Ubisoft,0.2,0.03,0.0,0.02,0.26,80.0,75.0,0.010775862068965518,76.47,78.65,51.71025862068965
6561,Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.03,0.0,0.02,0.26,58.0,76.0,0.010775862068965518,44.12,79.78,41.303591954022984
6566,All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,79.0,81.0,0.015489467162329618,76.92,82.05,52.995163155720775
6567,MTX Mototrax,PS2,2004,Racing,Activision,0.13,0.1,0.0,0.03,0.26,77.0,81.0,0.012019230769230772,72.06,81.33,51.134006410256404
6570,NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,58.0,78.0,0.03477051460361613,49.3,77.78,42.371590171534535
6572,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26,46.0,36.0,0.0070402703463813,30.67,31.71,20.79568009011546
6573,Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0.0,0.26,87.0,82.0,0.015489467162329618,87.18,83.33,56.841829822387446
6574,Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,73.0,60.0,0.0167000668002672,66.2,51.43,39.21556668893342
6577,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios,0.23,0.01,0.0,0.02,0.26,63.0,86.0,0.0030295685894328648,53.52,91.14,48.221009856196474
6578,Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,77.0,79.0,0.012019230769230772,72.06,78.67,50.24733974358975
6579,Madden NFL 2005,DS,2004,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.26,68.0,77.0,0.012019230769230772,58.82,76.0,44.94400641025641
6580,MVP Baseball 2004,GC,2004,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26,89.0,85.0,0.012019230769230772,89.71,86.67,58.79733974358974
6581,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,73.0,84.0,0.012019230769230772,66.18,85.33,50.50733974358974
6582,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft,0.18,0.07,0.0,0.0,0.25,84.0,74.0,0.01603206412825651,81.69,71.43,51.04534402137608
6583,Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25,77.0,88.0,0.03337969401947149,76.06,90.12,55.404459898006486
6584,The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.04,0.25,94.0,81.0,0.0029083858458555504,97.18,84.81,60.66430279528195
6587,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.25,79.0,79.0,0.010344827586206896,75.0,83.15,52.72011494252874
6588,Teen Titans,PS2,2006,Action,THQ,0.12,0.1,0.0,0.03,0.25,56.0,86.0,0.0029083858458555504,43.66,91.14,44.93430279528195
6595,Bomberman Generation,GC,2002,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25,81.0,85.0,0.014869888475836434,79.49,87.18,55.561623296158615
6596,Sega Rally Revo,PSP,2007,Racing,Sega,0.03,0.15,0.0,0.07,0.25,74.0,72.0,0.010577346848832086,70.51,75.86,48.79352578228295
6598,Surfing H3O,PS2,2000,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25,46.0,46.0,0.04536862003780718,27.78,41.46,23.09512287334594
6603,NASCAR 09,X360,2008,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25,69.0,78.0,0.006758659532526048,61.33,82.93,48.08891955317751
6605,NASCAR 09,PS3,2008,Racing,Electronic Arts,0.22,0.01,0.0,0.02,0.25,65.0,75.0,0.006758659532526048,56.0,79.27,45.09225288651084
6606,Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive,0.15,0.08,0.0,0.02,0.25,52.0,52.0,0.01741654571843251,40.58,43.66,28.085805515239475
6621,Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.25,62.0,35.0,0.011009174311926606,50.7,34.88,28.530336391437313
6622,Amped 2,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,80.0,77.0,0.03337969401947149,80.28,76.54,52.284459898006496
6624,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.25,64.0,56.0,0.007326007326007324,59.49,55.95,38.482442002442006
6627,NHL 08,PS3,2007,Action,Electronic Arts,0.16,0.06,0.0,0.03,0.25,86.0,69.0,0.010577346848832086,85.9,72.41,52.773525782282945
6630,The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,0.12,0.01,0.1,0.02,0.25,67.0,71.0,0.02803738317757009,62.34,71.79,44.719345794392524
6631,Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ,0.18,0.04,0.01,0.03,0.25,71.0,64.0,0.010577346848832086,66.67,66.67,44.450192448949615
6632,WipEout XL,PS,1996,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25,93.0,87.0,0.01964285714285714,90.91,81.25,57.393214285714286
6633,LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,0.1,0.13,0.0,0.03,0.25,76.0,75.0,0.016304347826086956,73.33,82.89,52.07876811594203
6634,The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,BAM! Entertainment,0.14,0.1,0.0,0.02,0.25,30.0,63.0,0.01603206412825651,5.63,55.71,20.45201068804275
6636,Dead or Alive Xtreme 2,X360,2006,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53.0,67.0,0.0029083858458555504,39.44,67.09,35.51096946194862
6639,PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25,59.0,71.0,0.031662269129287594,45.16,75.0,40.06388742304309
6640,Hunted: The Demon's Forge,PS3,2011,Action,Bethesda Softworks,0.12,0.08,0.02,0.03,0.25,57.0,62.0,0.016304347826086956,48.0,65.79,37.935434782608695
6641,Men of Valor,XB,2004,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25,73.0,80.0,0.011538461538461539,66.18,80.0,48.73051282051282
6645,Medal of Honor European Assault,GC,2005,Shooter,Electronic Arts,0.19,0.05,0.0,0.01,0.25,71.0,79.0,0.010344827586206896,63.24,83.15,48.800114942528744
6646,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25,71.0,87.0,0.03337969401947149,67.61,88.89,52.17779323133982
6647,NHL 08,X360,2007,Action,Electronic Arts,0.22,0.01,0.0,0.02,0.25,85.0,82.0,0.010577346848832086,84.62,87.36,57.33019244894962
6650,WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0.0,0.03,0.25,83.0,85.0,0.014869888475836434,82.05,87.18,56.41495662949195
6652,Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver,0.05,0.15,0.0,0.05,0.25,42.0,38.0,0.011009174311926606,22.54,38.37,20.307003058103973
6654,NHL 06,XB,2005,Sports,Electronic Arts,0.19,0.05,0.0,0.01,0.25,79.0,84.0,0.010344827586206896,75.0,88.76,54.590114942528736
6657,Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72.0,59.0,0.02803738317757009,68.83,56.41,41.75601246105919
6660,Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25,53.0,74.0,0.04536862003780718,37.5,75.61,37.71845620667927
6662,XIII,XB,2003,Shooter,Ubisoft,0.16,0.08,0.0,0.01,0.25,74.0,83.0,0.03337969401947149,71.83,83.95,51.93779323133983
6663,Up,PS3,2009,Action,THQ,0.15,0.06,0.0,0.03,0.25,65.0,65.0,0.007326007326007324,60.76,66.67,42.47910866910867
6667,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.21,0.02,0.0,0.02,0.25,64.0,66.0,0.011009174311926606,53.52,70.93,41.48700305810398
6668,MotoGP '07,X360,2007,Racing,THQ,0.23,0.0,0.0,0.02,0.25,78.0,73.0,0.010577346848832086,75.64,77.01,50.88685911561628
6669,Cars,X360,2006,Racing,THQ,0.22,0.01,0.0,0.02,0.25,65.0,61.0,0.0029083858458555504,56.34,59.49,38.61096946194862
6679,Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,0.09,0.03,0.1,0.03,0.25,78.0,86.0,0.019047619047619046,73.24,93.51,55.58968253968254
6683,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0.0,0.02,0.25,76.0,33.0,0.011412268188302425,75.0,28.05,34.3538040893961
6684,The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25,38.0,68.0,0.006758659532526048,20.0,70.73,30.245586219844174
6685,Def Jam Vendetta,GC,2003,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25,81.0,85.0,0.03337969401947149,81.69,86.42,56.047793231339824
6688,The Sims 2,XB,2005,Simulation,Electronic Arts,0.19,0.05,0.0,0.01,0.25,75.0,71.0,0.010344827586206896,69.12,74.16,47.76344827586207
6689,Spider-Man: Web of Shadows,Wii,2008,Action,Activision,0.22,0.01,0.0,0.02,0.25,63.0,69.0,0.006758659532526048,53.33,71.95,41.76225288651084
6691,The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25,69.0,67.0,0.011412268188302425,66.67,69.51,45.397137422729436
6692,World Series Baseball 2K3,PS2,2003,Sports,Sega,0.12,0.1,0.0,0.03,0.25,87.0,87.0,0.03337969401947149,90.14,88.89,59.68779323133983
6693,Tony Hawk's Proving Ground,Wii,2007,Sports,Activision,0.22,0.01,0.0,0.02,0.25,57.0,62.0,0.010577346848832086,48.72,64.37,37.700192448949615
6695,Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision,0.11,0.09,0.0,0.05,0.25,63.0,78.0,0.007326007326007324,58.23,82.14,46.79244200244201
6696,The Outfit,X360,2006,Action,THQ,0.21,0.02,0.0,0.02,0.25,70.0,75.0,0.0029083858458555504,63.38,77.22,46.86763612861529
6699,Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive,0.14,0.08,0.0,0.02,0.25,56.0,64.0,0.006758659532526048,44.0,65.85,36.618919553177506
6703,Devil Kings,PS2,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25,64.0,74.0,0.010344827586206896,52.94,77.53,43.49344827586207
6708,Bolt,X360,2008,Adventure,Disney Interactive Studios,0.18,0.05,0.0,0.02,0.25,57.0,71.0,0.006758659532526048,45.33,74.39,39.908919553177505
6710,Spider-Man: Edge of Time,X360,2011,Action,Activision,0.18,0.05,0.0,0.02,0.25,57.0,68.0,0.016304347826086956,48.0,73.68,40.5654347826087
6714,L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.03,0.25,83.0,79.0,0.016304347826086956,82.67,88.16,56.94876811594204
6715,Dynasty Warriors 6,PS2,2008,Action,Tecmo Koei,0.12,0.09,0.0,0.03,0.25,43.0,54.0,0.006758659532526048,26.67,53.66,26.778919553177506
6717,America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70.0,74.0,0.010344827586206896,61.76,77.53,46.43344827586207
6718,Grandia,PS,1999,Role-Playing,Ubisoft,0.14,0.09,0.0,0.02,0.25,89.0,66.0,0.024287222808870114,83.64,9.68,31.114762407602957
6721,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,Ubisoft,0.12,0.09,0.0,0.03,0.25,51.0,75.0,0.0029083858458555504,36.62,77.22,37.94763612861528
6725,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,Midway Games,0.19,0.05,0.0,0.01,0.25,55.0,79.0,0.010344827586206896,39.71,83.15,40.95678160919541
6727,Armored Core 4,X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,65.0,72.0,0.010577346848832086,58.97,75.86,44.94685911561627
6732,SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games,0.12,0.11,0.0,0.02,0.25,59.0,61.0,0.006758659532526048,48.0,62.2,36.73558621984418
6733,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.16,0.07,0.0,0.02,0.25,50.0,68.0,0.007326007326007324,41.77,70.24,37.33910866910867
6734,X-Men Origins: Wolverine,Wii,2009,Action,Activision,0.19,0.04,0.0,0.02,0.25,53.0,61.0,0.007326007326007324,45.57,61.9,35.82577533577534
6735,Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25,83.0,71.0,0.007326007326007324,83.54,73.81,52.45244200244201
6740,Major League Baseball 2K7,PS3,2007,Sports,Spike,0.23,0.0,0.0,0.02,0.25,74.0,47.0,0.010577346848832086,70.51,47.13,39.21685911561628
6741,Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.25,77.0,80.0,0.011538461538461539,72.06,80.0,50.69051282051282
6742,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games,0.12,0.09,0.0,0.04,0.25,80.0,77.0,0.007326007326007324,79.75,80.95,53.569108669108665
6747,X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,Activision,0.19,0.05,0.0,0.01,0.25,82.0,62.0,0.010344827586206896,79.41,64.04,47.82011494252873
6750,TV Superstars,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.12,0.0,0.05,0.25,56.0,49.0,0.011009174311926606,42.25,51.16,31.140336391437312
6751,Family Guy: Back to the Multiverse,X360,2012,Action,Activision,0.14,0.09,0.0,0.02,0.25,39.0,50.0,0.01741654571843251,21.74,40.85,20.869138848572813
6752,Ninja Gaiden 3,X360,2012,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.25,58.0,44.0,0.01741654571843251,49.28,32.39,27.229138848572813
6754,Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0.0,0.02,0.25,88.0,73.0,0.031662269129287594,91.94,77.94,56.63722075637643
6757,Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0.0,0.04,0.25,63.0,63.0,0.02803738317757009,57.14,61.54,39.569345794392525
6758,NBA Courtside 2002,GC,2002,Sports,Nintendo,0.19,0.05,0.0,0.01,0.25,71.0,74.0,0.014869888475836434,66.67,73.08,46.588289962825286
6759,F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25,64.0,53.0,0.02803738317757009,58.44,48.72,35.72934579439252
6764,Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,0.13,0.06,0.0,0.06,0.25,75.0,82.0,0.011412268188302425,73.81,87.8,53.873804089396096
6767,Digimon World: Data Squad,PS2,2006,Role-Playing,Namco Bandai Games,0.12,0.09,0.0,0.03,0.24,43.0,80.0,0.0027872031022782356,25.35,83.54,36.29759573436743
6769,Hitman: Absolution,PC,2012,Action,Square Enix,0.03,0.17,0.0,0.04,0.24,79.0,70.0,0.016690856313497822,79.71,69.01,49.57889695210449
6770,Stella Glow,3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,79.0,87.0,0.02686915887850467,77.92,92.31,56.75228971962617
6771,Racquet Sports,Wii,2010,Sports,Ubisoft,0.13,0.09,0.0,0.02,0.24,51.0,86.0,0.01055045871559633,35.21,94.19,43.1368501529052
6773,Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.24,80.0,71.0,0.01825396825396825,76.06,74.03,50.036084656084654
6776,Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.24,78.0,62.0,0.0027872031022782356,74.65,60.76,45.13759573436743
